,GAMES,name,released,prise,offers
0,Total War: WARHAMMER III,"<span class=""title"">Total War: WARHAMMER III</span>","<div class=""col search_released responsive_secondrow"">
                    16 Feb, 2022                </div>","<div class=""discount_final_price"">₹2,249.00</div>","<div class=""discount_pct"">-50%</div>"
1,Total War: WARHAMMER II,"<span class=""title"">Total War: WARHAMMER II</span>","<div class=""col search_released responsive_secondrow"">
                    28 Sep, 2017                </div>","<div class=""discount_final_price"">₹749.00</div>","<div class=""discount_pct"">-75%</div>"
2,Total War: WARHAMMER TRILOGY,"<span class=""title"">Total War: WARHAMMER TRILOGY</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹3,561.00</div>","<div class=""discount_pct"">-66%</div>"
3,Total War: Warhammer III Collection,"<span class=""title"">Total War: Warhammer III Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹5,795.00</div>","<div class=""discount_pct"">-41%</div>"
4,Total War: WARHAMMER,"<span class=""title"">Total War: WARHAMMER</span>","<div class=""col search_released responsive_secondrow"">
                    24 May, 2016                </div>","<div class=""discount_final_price"">₹749.00</div>","<div class=""discount_pct"">-75%</div>"
5,Total War: WARHAMMER III – Thrones of Decay,"<span class=""title"">Total War: WARHAMMER III – Thrones of Decay</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹1,722.00</div>","<div class=""discount_pct"">-15%</div>"
6,"Warhammer 40,000: Gladius - Relics of War","<span class=""title"">Warhammer 40,000: Gladius - Relics of War</span>","<div class=""col search_released responsive_secondrow"">
                    12 Jul, 2018                </div>","<div class=""discount_final_price"">₹0.00</div>","<div class=""discount_pct"">-100%</div>"
7,Total War: WARHAMMER II Collection,"<span class=""title"">Total War: WARHAMMER II Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹3,671.00</div>","<div class=""discount_pct"">-61%</div>"
8,Total War: WARHAMMER III - Forge of the Chaos Dwarfs,"<span class=""title"">Total War: WARHAMMER III - Forge of the Chaos Dwarfs</span>","<div class=""col search_released responsive_secondrow"">
                    13 Apr, 2023                </div>","<div class=""discount_final_price"">₹1,274.00</div>","<div class=""discount_pct"">-25%</div>"
9,Total War: WARHAMMER III - Shadows of Change,"<span class=""title"">Total War: WARHAMMER III - Shadows of Change</span>","<div class=""col search_released responsive_secondrow"">
                    31 Aug, 2023                </div>","<div class=""discount_final_price"">₹1,359.00</div>","<div class=""discount_pct"">-20%</div>"
10,"Warhammer 40,000: Dawn of War II: Retribution","<span class=""title"">Warhammer 40,000: Dawn of War II: Retribution</span>","<div class=""col search_released responsive_secondrow"">
                    28 Feb, 2011                </div>","<div class=""discount_final_price"">₹297.00</div>","<div class=""discount_pct"">-80%</div>"
11,Middle-earth™: Shadow of War™,"<span class=""title"">Middle-earth™: Shadow of War™</span>","<div class=""col search_released responsive_secondrow"">
                    9 Oct, 2017                </div>","<div class=""discount_final_price"">₹216.00</div>","<div class=""discount_pct"">-90%</div>"
12,The Witcher 3: Wild Hunt - Complete Edition,"<span class=""title"">The Witcher 3: Wild Hunt - Complete Edition</span>","<div class=""col search_released responsive_secondrow"">
                    30 Aug, 2016                </div>","<div class=""discount_final_price"">₹550.00</div>","<div class=""discount_pct"">-75%</div>"
13,Assassin's Creed® Odyssey,"<span class=""title"">Assassin's Creed® Odyssey</span>","<div class=""col search_released responsive_secondrow"">
                    5 Oct, 2018                </div>","<div class=""discount_final_price"">₹449.00</div>","<div class=""discount_pct"">-85%</div>"
14,The Witcher® 3: Wild Hunt,"<span class=""title"">The Witcher® 3: Wild Hunt</span>","<div class=""col search_released responsive_secondrow"">
                    18 May, 2015                </div>","<div class=""discount_final_price"">₹425.00</div>","<div class=""discount_pct"">-75%</div>"
15,Besiege,"<span class=""title"">Besiege</span>","<div class=""col search_released responsive_secondrow"">
                    18 Feb, 2020                </div>","<div class=""discount_final_price"">₹172.00</div>","<div class=""discount_pct"">-75%</div>"
16,Total War: WARHAMMER Collection,"<span class=""title"">Total War: WARHAMMER Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹2,684.00</div>","<div class=""discount_pct"">-63%</div>"
17,Borderlands 3,"<span class=""title"">Borderlands 3</span>","<div class=""col search_released responsive_secondrow"">
                    13 Mar, 2020                </div>","<div class=""discount_final_price"">₹448.00</div>","<div class=""discount_pct"">-85%</div>"
18,"Warhammer 40,000: Space Marine - Anniversary Edition","<span class=""title"">Warhammer 40,000: Space Marine - Anniversary Edition</span>","<div class=""col search_released responsive_secondrow"">
                    5 Sep, 2011                </div>","<div class=""discount_final_price"">₹599.00</div>","<div class=""discount_pct"">-80%</div>"
19,Total War: WARHAMMER III - Champions of Chaos,"<span class=""title"">Total War: WARHAMMER III - Champions of Chaos</span>","<div class=""col search_released responsive_secondrow"">
                    23 Aug, 2022                </div>","<div class=""discount_final_price"">₹669.00</div>","<div class=""discount_pct"">-33%</div>"
20,"Warhammer 40,000: Battlesector","<span class=""title"">Warhammer 40,000: Battlesector</span>","<div class=""col search_released responsive_secondrow"">
                    22 Jul, 2021                </div>","<div class=""discount_final_price"">₹800.00</div>","<div class=""discount_pct"">-50%</div>"
21,Warhammer: Vermintide 2,"<span class=""title"">Warhammer: Vermintide 2</span>","<div class=""col search_released responsive_secondrow"">
                    8 Mar, 2018                </div>","<div class=""discount_final_price"">₹260.00</div>","<div class=""discount_pct"">-80%</div>"
22,Songs of Conquest,"<span class=""title"">Songs of Conquest</span>","<div class=""col search_released responsive_secondrow"">
                    20 May, 2024                </div>","<div class=""discount_final_price"">₹719.00</div>","<div class=""discount_pct"">-20%</div>"
23,Total War: WARHAMMER III - Ogre Kingdoms,"<span class=""title"">Total War: WARHAMMER III - Ogre Kingdoms</span>","<div class=""col search_released responsive_secondrow"">
                    24 Feb, 2022                </div>","<div class=""discount_final_price"">₹349.00</div>","<div class=""discount_pct"">-50%</div>"
24,"Warhammer 40,000: Gladius Complete Edition","<span class=""title"">Warhammer 40,000: Gladius Complete Edition</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹4,423.00</div>","<div class=""discount_pct"">-52%</div>"
25,Batman™: Arkham Knight,"<span class=""title"">Batman™: Arkham Knight</span>","<div class=""col search_released responsive_secondrow"">
                    23 Jun, 2015                </div>","<div class=""discount_final_price"">₹202.00</div>","<div class=""discount_pct"">-85%</div>"
26,"Warhammer 40,000: Boltgun","<span class=""title"">Warhammer 40,000: Boltgun</span>","<div class=""col search_released responsive_secondrow"">
                    23 May, 2023                </div>","<div class=""discount_final_price"">₹714.00</div>","<div class=""discount_pct"">-35%</div>"
27,Total War: WARHAMMER II - Rise of the Tomb Kings,"<span class=""title"">Total War: WARHAMMER II - Rise of the Tomb Kings</span>","<div class=""col search_released responsive_secondrow"">
                    23 Jan, 2018                </div>","<div class=""discount_final_price"">₹549.00</div>","<div class=""discount_pct"">-50%</div>"
28,DCS: F-4E Phantom II by Heatblur Simulations,"<span class=""title"">DCS: F-4E Phantom II by Heatblur Simulations</span>","<div class=""col search_released responsive_secondrow"">
                    22 May, 2024                </div>","<div class=""discount_final_price"">₹5,325.00</div>","<div class=""discount_pct"">-20%</div>"
29,Total War: WARHAMMER II - Curse of the Vampire Coast,"<span class=""title"">Total War: WARHAMMER II - Curse of the Vampire Coast</span>","<div class=""col search_released responsive_secondrow"">
                    8 Nov, 2018                </div>","<div class=""discount_final_price"">₹549.00</div>","<div class=""discount_pct"">-50%</div>"
30,"Warhammer 40,000: Battlesector Deluxe Edition","<span class=""title"">Warhammer 40,000: Battlesector Deluxe Edition</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹2,955.00</div>","<div class=""discount_pct"">-42%</div>"
31,"Warhammer 40,000: Inquisitor - Martyr","<span class=""title"">Warhammer 40,000: Inquisitor - Martyr</span>","<div class=""col search_released responsive_secondrow"">
                    5 Jun, 2018                </div>","<div class=""discount_final_price"">₹400.00</div>","<div class=""discount_pct"">-80%</div>"
32,Total War: WARHAMMER - Realm of The Wood Elves,"<span class=""title"">Total War: WARHAMMER - Realm of The Wood Elves</span>","<div class=""col search_released responsive_secondrow"">
                    8 Dec, 2016                </div>","<div class=""discount_final_price"">₹549.00</div>","<div class=""discount_pct"">-50%</div>"
33,Total War: WARHAMMER - Call of the Beastmen,"<span class=""title"">Total War: WARHAMMER - Call of the Beastmen</span>","<div class=""col search_released responsive_secondrow"">
                    28 Jul, 2016                </div>","<div class=""discount_final_price"">₹549.00</div>","<div class=""discount_pct"">-50%</div>"
34,Galacticare,"<span class=""title"">Galacticare</span>","<div class=""col search_released responsive_secondrow"">
                    23 May, 2024                </div>","<div class=""discount_final_price"">₹1,170.00</div>","<div class=""discount_pct"">-10%</div>"
35,Zombie Army 4: Dead War,"<span class=""title"">Zombie Army 4: Dead War</span>","<div class=""col search_released responsive_secondrow"">
                    18 Feb, 2021                </div>","<div class=""discount_final_price"">₹300.00</div>","<div class=""discount_pct"">-85%</div>"
36,Six Days in Fallujah,"<span class=""title"">Six Days in Fallujah</span>","<div class=""col search_released responsive_secondrow"">
                    22 Jun, 2023                </div>","<div class=""discount_final_price"">₹1,199.00</div>","<div class=""discount_pct"">-25%</div>"
37,Middle-earth™: The Shadow Bundle,"<span class=""title"">Middle-earth™: The Shadow Bundle</span>","<div class=""col search_released responsive_secondrow"">
                    2 Nov, 2021                </div>","<div class=""discount_final_price"">₹379.00</div>","<div class=""discount_pct"">-90%</div>"
38,"Warhammer 40,000: Space Marine Anniversary & Boltgun – Graia Collection","<span class=""title"">Warhammer 40,000: Space Marine Anniversary &amp; Boltgun – Graia Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹1,182.00</div>","<div class=""discount_pct"">-71%</div>"
39,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","<span class=""title"">Warhammer® 40,000: Dawn of War® - Game of the Year Edition</span>","<div class=""col search_released responsive_secondrow"">
                    14 May, 2014                </div>","<div class=""discount_final_price"">₹190.00</div>","<div class=""discount_pct"">-80%</div>"
40,"Warhammer 40,000: Dawn of War - Master Collection","<span class=""title"">Warhammer 40,000: Dawn of War - Master Collection</span>","<div class=""col search_released responsive_secondrow"">
                    14 May, 2014                </div>","<div class=""discount_final_price"">₹259.00</div>","<div class=""discount_pct"">-80%</div>"
41,Total War: WARHAMMER II DLC Collection,"<span class=""title"">Total War: WARHAMMER II DLC Collection</span>","<div class=""col search_released responsive_secondrow"">
</div>","<div class=""discount_final_price"">₹2,871.00</div>","<div class=""discount_pct"">-55%</div>"
42,"Warhammer 40,000: Dawn of War III","<span class=""title"">Warhammer 40,000: Dawn of War III</span>","<div class=""col search_released responsive_secondrow"">
                    27 Apr, 2017                </div>","<div class=""discount_final_price"">₹479.00</div>","<div class=""discount_pct"">-80%</div>"
43,Total War: WARHAMMER II - The Silence & The Fury,"<span class=""title"">Total War: WARHAMMER II - The Silence &amp; The Fury</span>","<div class=""col search_released responsive_secondrow"">
                    14 Jul, 2021                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
44,Total War: WARHAMMER II - The Twisted & The Twilight,"<span class=""title"">Total War: WARHAMMER II - The Twisted &amp; The Twilight</span>","<div class=""col search_released responsive_secondrow"">
                    3 Dec, 2020                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
45,Total War: WARHAMMER - Norsca,"<span class=""title"">Total War: WARHAMMER - Norsca</span>","<div class=""col search_released responsive_secondrow"">
                    10 Aug, 2017                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
46,Assassin’s Creed® IV Black Flag™,"<span class=""title"">Assassin’s Creed® IV Black Flag™</span>","<div class=""col search_released responsive_secondrow"">
                    19 Nov, 2013                </div>","<div class=""discount_final_price"">₹599.00</div>","<div class=""discount_pct"">-70%</div>"
47,Total War: WARHAMMER II - The Prophet & The Warlock,"<span class=""title"">Total War: WARHAMMER II - The Prophet &amp; The Warlock</span>","<div class=""col search_released responsive_secondrow"">
                    17 Apr, 2019                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
48,Total War: WARHAMMER II - The Warden & The Paunch,"<span class=""title"">Total War: WARHAMMER II - The Warden &amp; The Paunch</span>","<div class=""col search_released responsive_secondrow"">
                    21 May, 2020                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
49,Total War: WARHAMMER II - The Shadow & The Blade,"<span class=""title"">Total War: WARHAMMER II - The Shadow &amp; The Blade</span>","<div class=""col search_released responsive_secondrow"">
                    12 Dec, 2019                </div>","<div class=""discount_final_price"">₹299.00</div>","<div class=""discount_pct"">-50%</div>"
